Node, distance From sink, messages completed, rounds completed, finalRank, x, y, diedAt, nodes in Range,earliestBeacon
normal-172, 199.91248, 0.0, 573,100, 159, 428,72842.60000000315, 24,-2147483648
normal-173, 230.20209, 0.0, 557,100, 97, 78,70744.40000000295, 20,-2147483648
normal-174, 216.39316, 0.0, 551,100, 165, 51,70023.20000000288, 19,-2147483648
normal-175, 298.4979, 0.0, 536,100, 476, 55,68178.20000000272, 15,-2147483648
normal-176, 93.47727, 1.0, 775,1, 207, 333,98521.44444445244, 23,1
normal-177, 199.58206, 0.0, 583,100, 282, 447,74114.60000000325, 20,-2147483648
normal-178, 69.77106, 1.0, 764,1, 282, 188,97081.13333334198, 22,1
normal-179, 293.21152, 0.0, 509,100, 408, 3,64743.8000000024, 11,-2147483648
normal-180, 252.62225, 0.0, 553,100, 197, 3,70320.6000000029, 14,-2147483648
normal-181, 244.95102, 0.0, 555,100, 201, 10,70574.00000000292, 14,-2147483648
normal-182, 196.09436, 0.0, 582,100, 323, 432,73987.40000000325, 27,-2147483648
normal-183, 92.28217, 1.0, 751,1, 330, 296,95526.2000000078, 22,1
normal-184, 31.06445, 1.0, 793,1, 248, 219,100805.60000000971, 23,1
normal-185, 249.07027, 0.0, 567,100, 456, 390,72121.40000000306, 14,-2147483648
normal-186, 85.61542, 0.996319, 751,1, 217, 171,95526.2000000095, 24,1
normal-187, 72.498276, 0.9993928, 759,1, 280, 316,96434.80000000696, 30,1
normal-188, 207.96634, 0.0, 553,100, 437, 159,70320.6000000029, 23,-2147483648
normal-189, 85.276024, 0.9993443, 743,1, 184, 196,94445.60000000692, 27,1
normal-190, 210.0119, 0.0, 566,100, 42, 279,71952.20000000305, 15,-2147483648
normal-191, 161.75598, 0.0, 591,100, 336, 113,75132.20000000334, 24,-2147483648
normal-192, 156.73225, 0.0, 569,100, 99, 208,72312.8000000031, 27,-2147483648
normal-193, 97.74457, 0.99936265, 730,1, 185, 177,92820.15384616172, 29,1
normal-194, 268.9275, 0.0, 553,100, 21, 391,70320.6000000029, 20,-2147483648
normal-195, 179.80545, 0.0, 549,100, 107, 141,69789.80000000287, 25,-2147483648
normal-196, 217.883, 0.0, 567,100, 147, 442,72079.40000000306, 20,-2147483648
normal-197, 170.10585, 0.0, 567,100, 256, 80,72079.40000000306, 24,-2147483648
normal-198, 95.880135, 0.9993884, 784,1, 202, 333,99660.8000000076, 23,1
normal-199, 107.856384, 0.0, 555,100, 282, 353,70511.00000000294, 30,-2147483648
